year,hires,terminations,net_change,net_change_percentage
2000,220,31,189,85.91
2001,1122,203,919,81.91
2002,1067,174,893,83.69
2003,1142,198,944,82.66
2004,1135,202,933,82.20
2005,1097,175,922,84.05
2006,1118,182,936,83.72
2007,1090,147,943,86.51
2008,1108,143,965,87.09
2009,1140,153,987,86.58
2010,1099,125,974,88.63
2011,1101,113,988,89.74
2012,1103,108,995,90.21
2013,1105,95,1010,91.40
2014,1053,87,966,91.74
2015,1059,74,985,93.01
2016,1122,64,1058,94.30
2017,1091,56,1035,94.87
2018,1147,48,1099,95.82
2019,1083,48,1035,95.57
2020,1012,26,986,97.43
